"Supplementary Table 4.1 Phenotype data formatted for calculating ANOVA, MLM, and REML",,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Plate ID,Well,Plate row,Plate column,Genotype,Experiment Replicate,Experiment,Au,Cube Root Au,Anthesis date,Induction date,Harvest date,Grind date,Phadebas Date,Anthesis-Induction,Anthesis-Harvest,Harvest-Grind,Grind-Phadebas,Rht-B1,Rht-D1,Rht Genotype,,
HT080125LU,P00042,G05,G,5,15,C2,C,0.087,0.443104762,4/9/2021,5/5/2021,6/7/2021,8/17/2022,10/18/2022,26,59,436,62,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00049,G12,G,12,19,C2,C,0.102,0.467232873,3/29/2021,4/22/2021,6/3/2021,9/13/2022,11/21/2022,24,66,467,69,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00046,D01,D,1,P11,C1,C,0.121,0.494608744,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00048,E08,E,8,33,T1,T,0.125,0.5,3/24/2021,4/16/2021,6/2/2021,9/15/2022,11/21/2022,23,70,470,67,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00045,B11,B,11,26,C3,C,0.125,0.5,4/7/2021,5/2/2021,6/4/2021,9/6/2022,11/21/2022,25,58,459,76,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00050,C09,C,9,33,T2,T,0.126,0.501329793,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00045,E12,E,12,21,C1,C,0.126,0.501329793,4/11/2021,5/4/2021,6/7/2021,9/8/2022,11/21/2022,23,57,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00045,B08,B,8,26,C3,C,0.127,0.50265257,4/7/2021,5/2/2021,6/4/2021,9/6/2022,11/21/2022,25,58,459,76,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00043,H06,H,6,P11,C1,C,0.129,0.505277435,4/7/2021,5/2/2021,6/4/2021,9/12/2022,10/18/2022,25,58,465,36,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,A12,A,12,21,C1,C,0.13,0.506579702,4/11/2021,5/4/2021,6/7/2021,9/8/2022,11/21/2022,23,57,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,P00046,H01,H,1,P11,C1,C,0.13,0.506579702,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00049,G01,G,1,7,C1,C,0.131,0.507875308,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,P00045,A11,A,11,21,C1,C,0.131,0.507875308,4/11/2021,5/4/2021,6/7/2021,9/8/2022,11/21/2022,23,57,458,74,Rht-B1a,Rht-D1a,tall,,
