Supplementary Tabl 4.2. Phenotype data formatted for calculating correlations and QTL mapping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Only winter/extended cold temperature associated traits were used for QTL mapping in this chapter (columns D:AE). Additional columns used to calculate correlations. Planting replicates indicated as W1-W3. Spike replicates indicated as 1 or 2. anth = anthocyanin. OD = average of T and C experimental replicates. T = cold shock/LMA-treated. C = control/untreated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Genotype,Subpop. ID,WLMA freq.,cube W avg.,cube W1 avg.,cube W2 avg.,cube W3 avg.,cube W1.S1 avg.,cube W1.S2 avg.,cube W2.S1 avg.,cube W2.S2 avg.,cube W3.S1 avg.,cube W3.S2 avg.,W avg.,W1 avg.,W2 avg.,W3 avg.,W1.S1 avg.,W1.S2 avg.,W2.S1 avg.,W2.S2 avg.,W3.S1 avg.,W3.S2 avg.,avg. anth. count,avg. grain fill,avg. spike distortion,avg. spike curl,W1.anth. count,W2.anth. count,W3.anth. count,TLMA_freq,CLMA_freq,cube avg. OD,cube avg. T,cube avg. C
HT080125LU,P11,WA8124_Common,3,0.82420186,0.805720713,0.879742952,0.780642141,0.84541942,0.761669345,0.86938169,0.889865737,0.799504902,0.760820904,0.5598875,0.5230625,0.680875,0.475725,0.60425,0.441875,0.6571,0.70465,0.51105,0.4404,1.777777778,2.688888889,0.177777778,0.283333333,1.333333333,2.4,1.6,3,2,0.434887722,0.47748191,0.366408201
HT080125LU,P2,HT080125LU,3,0.78355685,0.779102994,0.839480105,0.723488727,0.660079574,0.869881225,0.832687054,0.846164961,0.796442537,0.631803015,0.481073611,0.472916667,0.591604167,0.3787,0.2876,0.658233333,0.577358333,0.60585,0.5052,0.2522,2.139393939,2.745454545,0.238383838,0.284848485,2.6,1.818181818,2,3,3,0.509474088,0.520865642,0.450130022
HT080125LU,10,HT080125LU_10,2,0.878358971,0.937035325,0.990408293,0.620365722,0.800260332,1.042501375,1.015750616,0.96369812,0.625306516,0.615344949,0.677666667,0.82275,0.9715,0.23875,0.5125,1.133,1.048,0.895,0.2445,0.233,2.666666667,2.333333333,0.666666667,0,2,3,3,3,3,0.858037044,1.024538757,0.67606143
HT080125LU,11,HT080125LU_11,1,0.674049875,0.671749346,0.757044733,0.566445512,0.668688308,0.674782738,0.818948682,0.682919969,0.585290478,0.546255557,0.30625,0.303125,0.433875,0.18175,0.299,0.30725,0.54925,0.3185,0.2005,0.163,2.333333333,2,0,0.666666667,0,4,3,3,3,0.660189408,0.601500872,0.69556498
HT080125LU,12,HT080125LU_12,0,0.604993056,0.628592642,0.579392944,NA,0.615564951,0.641101618,0.6,0.557205466,NA,NA,0.2214375,0.248375,0.1945,NA,0.23325,0.2635,0.216,0.173,NA,NA,0.666666667,3,0,0.5,0,2,0,2,3,0.647862803,0.682353676,0.587954228
HT080125LU,13,HT080125LU_13,0,0.617610761,0.650984701,0.655960946,0.529700792,0.634339736,0.666819409,0.681128461,0.628698076,0.53368033,0.525660544,0.235583333,0.275875,0.28225,0.148625,0.25525,0.2965,0.316,0.2485,0.152,0.14525,1,3,0.333333333,0,0,1,2,2,2,0.715431138,0.644880895,0.774279594
HT080125LU,14,HT080125LU_14,3,1.46359262,1.650963624,1.596362178,0.942554918,1.650963624,1.650963624,1.537745901,1.650963624,0.811044732,1.045025602,3.135166667,4.5,4.068125,0.837375,4.5,4.5,3.63625,4.5,0.5335,1.14125,2,3,0,1,3,2,1,3,2,0.774719519,0.81110807,0.734548033
HT080125LU,15,HT080125LU_15,2,1.034932199,0.774314343,1.205702029,NA,0.742593771,0.803629343,1.429069112,0.837296676,NA,NA,1.1085,0.46425,1.75275,NA,0.4095,0.519,2.9185,0.587,NA,NA,2,3,0.5,0,3,3,0,3,3,0.613402114,0.646330407,0.589317094
HT080125LU,16,HT080125LU_16,2,0.790712917,0.926088322,0.657313845,0.739787497,0.719035488,1.067580055,0.569288123,0.726532628,0.710884304,0.766593146,0.494375,0.79425,0.284,0.404875,0.37175,1.21675,0.1845,0.3835,0.35925,0.4505,2,3,0.333333333,0,2,2,2,3,3,0.79762752,0.880764659,0.692203741
HT080125LU,17,HT080125LU_17,0,0.609718285,0.666913103,0.616224015,0.5305903,0.613136226,0.713185449,0.6082202,0.624025147,0.522321963,0.538608673,0.226666667,0.296625,0.234,0.149375,0.2305,0.36275,0.225,0.243,0.1425,0.15625,1.333333333,3,0,0.666666667,0,2,2,3,2,0.643100977,0.615784796,0.658652846
