Table S2. Phenotype and factor data for all NAM RILs tested used for ANOVA and fitting of REML (restricted maximum likelihood) to MLM (mixed linear model) output. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subpopulation,Plant group,Plate ID,Well,Plate row,Plate column,NAM ID,Subpop ID,Treatment rep.,Treatment,Grain half,Half rep.,Plate rep,OD,Au/g,cub. OD,anthesis date,induction date,harvest date,grind date,phadebas data,anthesis-induction,anthesis-harvest,harvest-grinding,grinding-phadebas,Rht B,Rht D,Rht Combined,,
HT080125LU,AG,P00042,G05,G,5,15,15,C2,C,E,E1,R2,0.087,0.2871,0.443104762,4/9/2021,5/5/2021,6/7/2021,8/17/2022,10/18/2022,26,59,436,62,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00049,G12,G,12,19,19,C2,C,B,B2,R2,0.102,0.3366,0.467232873,3/29/2021,4/22/2021,6/3/2021,9/13/2022,11/21/2022,24,66,467,69,Rht-B1a,Rht-D1a,tall,,
HT080125LU,NA,P00046,D01,D,1,P11,P11,C1,C,B,B2,R1,0.121,0.3993,0.494608744,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00048,E08,E,8,33,33,T1,T,B,B2,R2,0.125,0.4125,0.5,3/24/2021,4/16/2021,6/2/2021,9/15/2022,11/21/2022,23,70,470,67,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AF,P00045,B11,B,11,26,26,C3,C,B,B2,R1,0.125,0.4125,0.5,4/7/2021,5/2/2021,6/4/2021,9/6/2022,11/21/2022,25,58,459,76,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00050,C09,C,9,33,33,T2,T,E,E2,R1,0.126,0.4158,0.501329793,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AF,P00045,E12,E,12,21,21,C1,C,B,B2,R2,0.126,0.4158,0.501329793,4/11/2021,5/4/2021,6/7/2021,9/8/2022,11/21/2022,23,57,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AF,P00045,B08,B,8,26,26,C3,C,B,B1,R1,0.127,0.4191,0.50265257,4/7/2021,5/2/2021,6/4/2021,9/6/2022,11/21/2022,25,58,459,76,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AF,P00043,H06,H,6,P11,P11,C1,C,E,E2,R2,0.129,0.4257,0.505277435,4/7/2021,5/2/2021,6/4/2021,9/12/2022,10/18/2022,25,58,465,36,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00045,A12,A,12,21,21,C1,C,B,B2,R1,0.13,0.429,0.506579702,4/11/2021,5/4/2021,6/7/2021,9/8/2022,11/21/2022,23,57,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,NA,P00046,H01,H,1,P11,P11,C1,C,B,B2,R2,0.13,0.429,0.506579702,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00049,G01,G,1,7,7,C1,C,E,E1,R2,0.131,0.4323,0.507875308,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00045,A11,A,11,21,21,C1,C,B,B1,R1,0.131,0.4323,0.507875308,4/11/2021,5/4/2021,6/7/2021,9/8/2022,11/21/2022,23,57,458,74,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00048,E07,E,7,33,33,T1,T,B,B1,R2,0.132,0.4356,0.509164337,3/24/2021,4/16/2021,6/2/2021,9/15/2022,11/21/2022,23,70,470,67,Rht-B1a,Rht-D1a,tall,,
HT080125LU,NA,P00046,H02,H,2,P11,P11,C1,C,B,B1,R2,0.132,0.4356,0.509164337,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AG,P00035,F01,F,1,38,38,C1,C,B,B1,R2,0.137,0.4521,0.515513674,4/18/2021,5/4/2021,6/7/2021,7/22/2022,8/16/2022,16,50,410,25,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,AE,P00049,C01,C,1,7,7,C1,C,E,E1,R1,0.137,0.4521,0.515513674,3/31/2021,4/26/2021,6/3/2021,9/13/2022,11/21/2022,26,64,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00045,C01,C,1,3,3,C2,C,B,B1,R1,0.137,0.4521,0.515513674,4/5/2021,4/29/2021,6/4/2021,9/8/2022,11/21/2022,24,60,461,74,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,AF,P00043,H07,H,7,P11,P11,C1,C,B,B1,R2,0.139,0.4587,0.518010147,4/7/2021,5/2/2021,6/4/2021,9/12/2022,10/18/2022,25,58,465,36,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AH,P00039,H01,H,1,P11,P11,C1,C,B,B1,R2,0.141,0.4653,0.520482786,4/26/2021,5/16/2021,6/17/2021,NA,8/30/2022,20,52,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00048,H07,H,7,P11,P11,T3,T,B,B1,R2,0.142,0.4686,0.521710345,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00045,H07,H,7,P11,P11,C2,C,B,B1,R2,0.142,0.4686,0.521710345,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AH,P00043,E02,E,2,40,40,T2,T,B,B1,R2,0.142,0.4686,0.521710345,5/14/2021,5/29/2021,7/5/2021,7/26/2022,10/18/2022,15,52,386,84,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,AE,P00050,C08,C,8,33,33,T2,T,B,B1,R1,0.143,0.4719,0.522932153,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00049,B07,B,7,33,33,C1,C,B,B2,R1,0.144,0.4752,0.524148279,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00045,D08,D,8,P11,P11,C2,C,B,B2,R1,0.144,0.4752,0.524148279,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00033,F09,F,9,21,21,T3,T,B,B1,R2,0.145,0.4785,0.525358787,4/11/2021,5/2/2021,6/9/2021,7/19/2022,8/16/2022,21,59,405,28,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00040,D01,D,1,P11,P11,C1,C,B,B2,R1,0.145,0.4785,0.525358787,4/2/2021,4/28/2021,6/3/2021,8/22/2022,10/18/2022,26,62,445,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00045,D07,D,7,P11,P11,C2,C,B,B1,R1,0.145,0.4785,0.525358787,4/3/2021,4/28/2021,6/3/2021,9/13/2022,11/21/2022,25,61,467,69,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00034,H08,H,8,P11,P11,C3,C,E,E2,R2,0.146,0.4818,0.526563743,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00041,H06,H,6,P11,P11,C2,C,B,B2,R2,0.146,0.4818,0.526563743,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00049,B06,B,6,33,33,C1,C,B,B1,R1,0.146,0.4818,0.526563743,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00040,H04,H,4,P11,P11,C1,C,B,B1,R2,0.146,0.4818,0.526563743,4/2/2021,4/28/2021,6/3/2021,8/22/2022,10/18/2022,26,62,445,57,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AH,P00039,D01,D,1,P11,P11,C1,C,B,B1,R1,0.146,0.4818,0.526563743,4/26/2021,5/16/2021,6/17/2021,NA,8/30/2022,20,52,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AH,P00029,H06,H,6,P11,P11,T2,T,B,B1,R2,0.147,0.4851,0.527763209,4/23/2021,5/16/2021,6/22/2021,7/18/2022,8/2/2022,23,60,391,15,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00041,H05,H,5,P11,P11,C2,C,B,B1,R2,0.147,0.4851,0.527763209,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00034,D06,D,6,P11,P11,C3,C,E,E1,R1,0.148,0.4884,0.528957247,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00048,D06,D,6,P11,P11,T3,T,B,B2,R1,0.148,0.4884,0.528957247,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AG,P00037,D06,D,6,P11,P11,C1,C,B,B1,R1,0.148,0.4884,0.528957247,4/12/2021,5/7/2021,6/9/2021,7/14/2022,8/30/2022,25,58,400,47,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00050,B08,B,8,26,26,T1,T,B,B2,R1,0.148,0.4884,0.528957247,4/7/2021,5/3/2021,6/9/2021,9/27/2022,11/21/2022,26,63,475,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00050,C05,C,5,33,33,T2,T,B,B2,R1,0.148,0.4884,0.528957247,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00034,D08,D,8,P11,P11,C3,C,E,E2,R1,0.149,0.4917,0.530145919,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00034,H06,H,6,P11,P11,C3,C,E,E1,R2,0.149,0.4917,0.530145919,4/3/2021,4/28/2021,6/3/2021,8/12/2022,8/16/2022,25,61,435,4,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00041,D05,D,5,P11,P11,C2,C,B,B1,R1,0.149,0.4917,0.530145919,4/6/2021,5/2/2021,6/4/2021,9/6/2022,10/18/2022,26,59,459,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00048,D07,D,7,P11,P11,T3,T,B,B1,R1,0.149,0.4917,0.530145919,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AE,P00048,H06,H,6,P11,P11,T3,T,B,B2,R2,0.149,0.4917,0.530145919,3/29/2021,4/22/2021,6/3/2021,10/10/2022,11/21/2022,24,66,494,42,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AG,P00040,A07,A,7,38,38,T2,T,B,B2,R1,0.149,0.4917,0.530145919,4/9/2021,5/2/2021,6/9/2021,7/13/2022,10/18/2022,23,61,399,97,Rht-B1a,Rht-D1b,semi-dwarf D,,
HT080125LU,NA,P00046,H04,H,4,P11,P11,C1,C,E,E1,R2,0.149,0.4917,0.530145919,NA,NA,NA,NA,11/21/2022,NA,NA,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AG,P00031,D02,D,2,P11,P11,C2,C,B,B1,R1,0.149,0.4917,0.530145919,4/16/2021,5/10/2021,6/14/2021,NA,8/2/2022,24,59,NA,NA,Rht-B1b,Rht-D1a,semi-dwarf B,,
HT080125LU,AF,P00033,B09,B,9,21,21,T3,T,B,B1,R1,0.15,0.495,0.531329285,4/11/2021,5/2/2021,6/9/2021,7/19/2022,8/16/2022,21,59,405,28,Rht-B1a,Rht-D1a,tall,,
HT080125LU,AE,P00050,G09,G,9,33,33,T2,T,E,E2,R2,0.15,0.495,0.531329285,3/23/2021,4/16/2021,6/2/2021,9/27/2022,11/21/2022,24,71,482,55,Rht-B1a,Rht-D1a,tall,,
