"Table S6. Correlation and p-values for all cube root transformed and replicate averages of half-grain samples, as well as LMA frequency in LMA-treated and untreated material and frequency of high alpha-amylase in the embryo half. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replicate,TLMA freq,CLMA freq,Thigh E,Chigh E,avg. diff,cube avg. OD,cube avg. T,cube avg. C,cube avg. TB,cube avg. TE,cube avg. CB,cube avg. CE,cube avg. T1,cube avg. T2,cube avg. T3,cube avg. C1,cube avg. C2,cube avg. C3,cube avg. T1B,cube avg. T1E,cube avg. T2B,cube avg. T2E,cube avg. T3B,cube avg. T3E,cube avg. C1B,cube avg. C1E,cube avg. C2B,cube avg. C2E,cube avg. C3B,cube avg. C3E
TLMA freq,1,0.642 ***,0.0529,-0.0288,0.22 ***,0.714 ***,0.749 ***,0.543 ***,0.696 ***,0.751 ***,0.511 ***,0.547 ***,0.653 ***,0.636 ***,0.672 ***,0.477 ***,0.425 ***,0.473 ***,0.597 ***,0.654 ***,0.563 ***,0.634 ***,0.64 ***,0.655 ***,0.425 ***,0.467 ***,0.341 ***,0.434 ***,0.442 ***,0.501 ***
CLMA freq,0.642 ***,1,-0.0989,0.0115,0.0375,0.711 ***,0.6 ***,0.772 ***,0.589 ***,0.581 ***,0.734 ***,0.773 ***,0.542 ***,0.491 ***,0.543 ***,0.675 ***,0.656 ***,0.673 ***,0.518 ***,0.528 ***,0.457 ***,0.461 ***,0.533 ***,0.52 ***,0.58 ***,0.675 ***,0.567 ***,0.648 ***,0.615 ***,0.703 ***
Thigh E,0.0529,-0.0989,1,0.345 ***,-0.079,-0.0114,0.0049,-0.0467,-0.157,0.103,-0.14,0.0185,-0.0136,0.0112,0.0104,-0.0339,-0.0273,-0.0507,-0.127,0.0532,-0.15,0.114,-0.134,0.103,-0.0935,0.0221,-0.11,0.0441,-0.0952,-0.0188
Chigh E,-0.0288,0.0115,0.345 ***,1,-0.0277,0.0648,0.0591,0.0478,-0.0367,0.111,-0.114,0.148,0.0646,0.00881,0.0643,0.0835,0.0118,-0.00647,0.00628,0.0983,-0.0979,0.0793,-0.0246,0.112,-0.0656,0.173,-0.132,0.103,-0.116,0.0812
avg. diff,0.22 ***,0.0375,-0.079,-0.0277,1,0.22 ***,0.379 ***,-0.0422,0.399 ***,0.355 ***,-0.0554,-0.0261,0.322 ***,0.304 ***,0.317 ***,0.00488,-0.165,-0.0589,0.312 ***,0.316 ***,0.327 ***,0.273 ***,0.346 ***,0.285 ***,-0.0303,0.00688,-0.168,-0.102,-0.0645,-0.0269
cube avg. OD,0.714 ***,0.711 ***,-0.0114,0.0648,0.22 ***,1,0.958 ***,0.898 ***,0.923 ***,0.938 ***,0.842 ***,0.896 ***,0.835 ***,0.812 ***,0.836 ***,0.823 ***,0.696 ***,0.757 ***,0.788 ***,0.824 ***,0.755 ***,0.781 ***,0.813 ***,0.805 ***,0.719 ***,0.814 ***,0.567 ***,0.698 ***,0.686 ***,0.809 ***
cube avg. T,0.749 ***,0.6 ***,0.0049,0.0591,0.379 ***,0.958 ***,1,0.74 ***,0.953 ***,0.985 ***,0.683 ***,0.747 ***,0.865 ***,0.845 ***,0.864 ***,0.683 ***,0.556 ***,0.613 ***,0.806 ***,0.861 ***,0.785 ***,0.812 ***,0.831 ***,0.836 ***,0.588 ***,0.678 ***,0.439 ***,0.581 ***,0.551 ***,0.669 ***
cube avg. C,0.543 ***,0.772 ***,-0.0467,0.0478,-0.0422,0.898 ***,0.74 ***,1,0.735 ***,0.714 ***,0.964 ***,0.984 ***,0.652 ***,0.639 ***,0.662 ***,0.904 ***,0.829 ***,0.859 ***,0.637 ***,0.631 ***,0.595 ***,0.612 ***,0.66 ***,0.629 ***,0.804 ***,0.89 ***,0.699 ***,0.799 ***,0.791 ***,0.89 ***
cube avg. TB,0.696 ***,0.589 ***,-0.157 **,-0.0367,0.399 ***,0.923 ***,0.953 ***,0.735 ***,1,0.889 ***,0.713 ***,0.72 ***,0.839 ***,0.818 ***,0.808 ***,0.684 ***,0.549 ***,0.606 ***,0.844 ***,0.799 ***,0.841 ***,0.733 ***,0.851 ***,0.744 ***,0.613 ***,0.66 ***,0.46 ***,0.547 ***,0.566 ***,0.646 ***
